title,pageid_url_slug,revision_id,prose_word_count,url,source
"Hosston, Louisiana","Hosston,_Louisiana",1365092239,881,"https://en.wikipedia.org/wiki/Hosston,_Louisiana?oldid=1365092239",Category:Articles containing suspected AI-generated texts from December 2025
Chen Fake,Chen_Fake,1347867520,1497,https://en.wikipedia.org/wiki/Chen_Fake?oldid=1347867520,Category:Articles containing suspected AI-generated texts from October 2025
The Grand Chessboard,The_Grand_Chessboard,1359726614,1910,https://en.wikipedia.org/wiki/The_Grand_Chessboard?oldid=1359726614,Category:Articles containing suspected AI-generated texts from October 2025
Ensoniq ASR-10,Ensoniq_ASR-10,1364043554,1172,https://en.wikipedia.org/wiki/Ensoniq_ASR-10?oldid=1364043554,Category:Articles containing suspected AI-generated texts from January 2026
Ganderbal district,Ganderbal_district,1364935627,1708,https://en.wikipedia.org/wiki/Ganderbal_district?oldid=1364935627,Category:Articles containing suspected AI-generated texts from September 2025
