title,pageid_url_slug,revision_id,prose_word_count,url,source,date_fetched
Dwight Cuthbert Revire Gardiner,Dwight_Cuthbert_Revire_Gardiner,1365456405,467,https://en.wikipedia.org/wiki/Dwight_Cuthbert_Revire_Gardiner?oldid=1365456405,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:23
Edgar Morin,Edgar_Morin,1360891582,3773,https://en.wikipedia.org/wiki/Edgar_Morin?oldid=1360891582,Category:Articles containing suspected AI-generated texts from October 2025,2026-07-23 00:22:24
Elaha,Elaha,1365506273,262,https://en.wikipedia.org/wiki/Elaha?oldid=1365506273,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:24
Emmanuel Fritz Paret,Emmanuel_Fritz_Paret,1365075736,484,https://en.wikipedia.org/wiki/Emmanuel_Fritz_Paret?oldid=1365075736,Category:Articles containing suspected AI-generated texts from April 2026,2026-07-23 00:22:25
Entozoa,Entozoa,1312874286,191,https://en.wikipedia.org/wiki/Entozoa?oldid=1312874286,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:25
Enzo Decaro,Enzo_Decaro,1351981706,243,https://en.wikipedia.org/wiki/Enzo_Decaro?oldid=1351981706,Category:Articles containing suspected AI-generated texts from March 2026,2026-07-23 00:22:26
Evans balance,Evans_balance,1347719899,835,https://en.wikipedia.org/wiki/Evans_balance?oldid=1347719899,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:26
Freshwater swamp forest,Freshwater_swamp_forest,1334087110,1218,https://en.wikipedia.org/wiki/Freshwater_swamp_forest?oldid=1334087110,Category:Articles containing suspected AI-generated texts from August 2025,2026-07-23 00:22:27
Gerónimo Rauch,Gerónimo_Rauch,1362886982,1017,https://en.wikipedia.org/wiki/Gerónimo_Rauch?oldid=1362886982,Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:27
Girona Provincial Council,Girona_Provincial_Council,1341366914,496,https://en.wikipedia.org/wiki/Girona_Provincial_Council?oldid=1341366914,Category:Articles containing suspected AI-generated texts from January 2026,2026-07-23 00:22:28
